Time [s];Total Power [W];CO2 Level [ppm]
16140;5311775.41752;673.914728475
16200;5338952.72012;673.89666396
16260;5324183.89212;673.88001531
16320;5419527.22012;673.86467155
16380;5434112.64612;673.850530403
16440;5499490.72892;673.837497608
16500;5456596.98092;673.825486294
16560;5500617.39522;673.814416398
16620;5580316.37142;673.804214132
16680;5725624.94442;673.794811491
16740;5682043.67242;673.786145803
16800;5551777.04162;673.778159306
16860;5662392.48762;673.770798766
16920;5589880.21482;673.76401512
16980;5593196.84882;673.757763154
17040;5561154.82222;673.752001195
17100;5380139.81372;673.746690837
17160;5447511.44122;673.741796685
17220;5617862.92382;673.737286117
17280;5552227.52382;673.733129069
17340;5702812.68822;673.729297833
17400;5845282.73922;673.725766873
17460;5903881.01042;673.722512653
17520;5844909.66292;673.719513484
17580;6165299.79042;673.716749376
17640;6106027.70462;673.714201905
17700;6184577.95582;673.711854092
17760;6457616.23302;673.709690288
17820;6489130.91942;673.707696072
17880;6393021.21312;673.705858151
17940;6367618.32652;673.775013194
18000;6408135.68452;673.838747667
18060;6335676.46852;673.897486459
18120;6368722.95292;673.951621153
18180;6492117.77672;674.001512638
18240;6482909.36692;674.047493513
18300;6566267.93532;674.089870308
18360;6646103.71042;674.128925523
18420;6727911.11142;674.164919517
18480;6544807.51872;674.198092238
18540;6586839.72372;674.228664827
18600;6462158.86472;674.256841092
18660;6336458.80462;674.282808863
18720;6316905.60512;674.306741249
18780;6189932.04282;674.328797789
18840;6164062.56642;674.349125517
18900;6164707.98802;674.367859941
18960;5990208.46002;674.385125948
19020;6045005.17472;674.401038637
19080;6083503.35682;674.415704084
19140;6193251.91512;674.429220048
19200;6310729.33672;674.44167663
19260;6275259.52342;674.453156866
19320;6335770.75102;674.463737282
19380;6379446.88492;674.473488409
19440;6575110.50092;674.482475246
19500;6619463.92272;674.490757701
19560;6596500.95252;674.498390982
19620;6720567.52112;674.505425973
19680;6744794.52402;674.511909569
19740;6568962.45582;674.517884987
19800;6557658.52572;674.52339206
19860;6598668.99782;674.528467496
19920;6842665.57512;674.533145128
19980;7046927.25342;674.537456134
20040;7061796.22442;674.541429251
20100;7169972.09782;674.545090964
20160;7102089.63472;674.548465678
20220;7088227.45092;674.55157589
20280;7239304.05802;674.554442331
20340;7517960.89352;674.557084108
20400;7786211.02562;674.559518829
20460;8061013.73562;674.561762723
20520;8063378.64492;674.563830748
20580;8061750.94522;674.565736687
20640;7907756.92642;674.567493244
20700;8242546.98822;674.569112128
20760;8193344.40442;674.57060413
20820;8083458.87822;674.571979194
20880;8291967.93562;674.573246486
20940;8005413.33992;674.574414452
21000;7999295.73802;674.575490878
21060;8155267.95372;674.576482938
21120;8365625.86562;674.577397244
21180;8720798.72442;674.578239891
21240;9015006.97132;674.579016496
21300;9184550.07332;674.579732233
21360;9237569.29042;674.580391875
21420;9051215.95912;674.580999817
21480;9088167.82512;674.581560112
